Name,player_id,year,ab,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4
"Criswell, Jeff",676105,2024,76,31.0,10.3,0.247,0.451,0.342,0.459,50.0,12.0,10.0,26.0,18.0,24.0,8.0,42.0,94.411011489,68.2,31.7,30.6,50.8,COL,4.4,0.05789473684210527,2.109299078291476,-3.2154451552685748,2.648588244456015,-0.7337423011481308
"Lange, Alex",656638,2024,69,23.3,18.9,0.245,0.315,0.341,0.35,30.0,2.0,8.0,30.0,24.0,30.0,6.0,52.0,95.672161667,63.5,12.9,28.0,67.2,,0.0,0.0,-0.3648256115328625,1.669850386490031,3.4665720149780275,1.5972259902838637
"Wells, Tyler",669330,2024,64,19.4,4.5,0.316,0.616,0.408,0.495,37.3,11.8,9.8,33.3,25.5,15.7,3.9,45.1,95.39068098,71.5,20.5,35.3,39.6,BAL,4.3,0.0671875,6.09261092672498,-1.8314370871696126,1.0077684577159893,-2.8641341065260275
"Cuas, Jose",621016,2024,67,20.5,12.0,0.268,0.52,0.394,0.441,35.3,11.8,9.8,23.5,29.4,23.5,2.0,43.1,94.905666078,68.8,23.7,24.7,38.6,TOR,4.0,0.05970149253731343,3.928987814959428,-2.1177525952380907,0.43957003169212017,1.2110740092448624
"Vines, Darius",670241,2024,59,13.6,6.1,0.332,0.539,0.388,0.426,32.7,9.6,5.8,34.6,26.9,17.3,5.8,48.1,94.870004038,76.9,11.0,23.6,60.0,ATL,4.3,0.07288135593220339,5.270916997514208,-0.3914060871449097,-0.06590722786554418,-1.1418652784914685
"Allen, Logan",671106,2024,383,18.3,9.5,0.276,0.496,0.367,0.414,36.0,11.4,8.1,21.4,23.4,31.5,4.2,46.4,95.493760921,69.1,14.0,23.5,40.1,CLE,21.2,0.05535248041775457,3.84283704299213,-0.0337147628188027,0.40457373144392794,1.2287341916238685
"Allen, Logan",671106,2024,383,18.3,9.5,0.276,0.496,0.367,0.414,36.0,11.4,8.1,21.4,23.4,31.5,4.2,46.4,95.493760921,69.1,14.0,23.5,40.1,AZ,2.9,0.007571801566579634,3.238086077167276,0.6279887773528252,0.6861561472803157,0.754575393829326
"Stripling, Ross",548389,2024,353,12.9,5.8,0.293,0.437,0.334,0.363,39.8,6.8,7.8,24.9,25.9,31.1,3.6,35.3,93.509050131,65.6,12.6,29.2,27.1,OAK,6.9,0.019546742209631728,1.4257156622240392,1.495826148473794,-2.1476355007483843,-1.5431869732352048
"Berríos, José",621244,2024,714,19.5,6.9,0.265,0.44,0.334,0.383,36.3,7.8,7.3,24.8,24.6,32.6,2.5,41.8,94.188449928,64.5,13.3,29.5,37.8,TOR,26.6,0.03725490196078431,1.4992065470069786,0.8474344064590548,-0.08640843061783454,-0.45880884788529475
"Ryan, River",689981,2024,72,22.2,11.1,0.236,0.372,0.309,0.348,35.2,7.4,1.9,27.8,27.8,25.9,9.3,27.8,92.271069074,70.8,9.8,23.8,63.9,LAD,1.6,0.022222222222222223,-1.772390323126234,0.1963307142893547,-1.8703122794035956,0.5151110186287374
"Peralta, Sammy",671111,2024,65,15.3,9.7,0.332,0.594,0.423,0.475,40.7,13.0,9.3,27.8,13.0,29.6,7.4,50.0,95.659009444,61.4,16.3,24.6,25.7,CWS,3.1,0.047692307692307694,6.756855288078904,1.5552206151686994,0.6488794191552718,0.5053737586024085
"Marte, José",665896,2024,68,17.5,12.5,0.246,0.348,0.326,0.336,23.6,3.6,3.6,25.5,20.0,45.5,1.8,36.4,93.576986,67.1,18.4,25.5,47.6,LAA,0.6,0.008823529411764706,-1.7705283739571875,2.8149709231743163,0.18046024258695706,1.257863612014149
"Winn, Cole",668390,2024,69,18.2,5.2,0.279,0.452,0.35,0.394,41.1,10.7,3.6,32.1,23.2,30.4,0.0,41.1,94.425871071,70.6,22.2,30.1,35.0,TEX,2.0,0.028985507246376812,2.401143162767033,0.0003950165317617785,0.3772781257743128,-2.124545960936573
